timestamp,sn,device.cloud.coap.retransmit,device.cloud.coap.round_trip,device.cloud.coap.transmit,device.cloud.coap.unack,device.cloud.connection.attempts,device.cloud.connection.disconnect_reason,device.cloud.connection.disconnects,device.cloud.connection.error,device.cloud.connection.interface,device.cloud.connection.status,device.cloud.publish.rate_limited,device.network.alternate_signal.at,device.network.alternate_signal.quality.err,device.network.alternate_signal.qualityv.err,device.network.alternate_signal.strength.err,device.network.alternate_signal.strengthv.err,device.network.cellular.cell_global_identity.cell_id,device.network.cellular.cell_global_identity.location_area_code,device.network.cellular.cell_global_identity.mobile_country_code,device.network.cellular.cell_global_identity.mobile_network_code,device.network.cellular.operator,device.network.cellular.radio_access_technology,device.network.connection.attempts,device.network.connection.disconnect_reason,device.network.connection.disconnects,device.network.connection.error,device.network.connection.status,device.network.signal.at,device.network.signal.quality,device.network.signal.quality_units,device.network.signal.qualityv,device.network.signal.qualityv_type,device.network.signal.qualityv_units,device.network.signal.strength,device.network.signal.strength_units,device.network.signal.strengthv,device.network.signal.strengthv_type,device.network.signal.strengthv_units,device.power.battery.charge,device.power.battery.state,device.power.source,device.system.memory.total,device.system.memory.used,device.system.protected_mode,device.system.uptime,service.cloud.publish.sent,service.cloud.uptime,service.coap.round_trip,service.device.status
2025-12-01T15:08:10Z,MOD-X-00958,0,519,38,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,41.66,%,-12,RSRQ,dB,83.33,%,-80,RSRP,dBm,100.0,charged,VIN,3039892,221172,Protected,3606,9,2138,154.0,ok
2025-12-01T14:32:33Z,MOD-X-00958,0,1017,25,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,45.83,%,-11,RSRQ,dB,78.33,%,-83,RSRP,dBm,100.0,charging,VIN,3039892,226260,Protected,1470,1,2,154.0,ok
2025-12-01T09:47:35Z,MOD-X-00958,33,545,976,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,249748,Protected,244807,871,240943,174.0,ok
2025-12-01T08:47:35Z,MOD-X-00958,33,475,962,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,62.5,%,-9,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,247764,Protected,241207,858,237343,174.0,ok
2025-12-01T07:47:35Z,MOD-X-00958,31,535,948,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,247284,Protected,237607,845,233743,174.0,ok
2025-12-01T06:47:35Z,MOD-X-00958,31,2422,934,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,247796,Protected,234007,832,230143,174.0,ok
2025-12-01T05:47:35Z,MOD-X-00958,31,486,920,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,247412,Protected,230407,819,226544,174.0,ok
2025-12-01T04:47:35Z,MOD-X-00958,30,418,906,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,248212,Protected,226807,806,222943,174.0,ok
2025-12-01T03:47:35Z,MOD-X-00958,30,522,892,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,246484,Protected,223207,793,219343,174.0,ok
2025-12-01T02:47:35Z,MOD-X-00958,29,486,878,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,62.5,%,-9,RSRQ,dB,86.66,%,-78,RSRP,dBm,100.0,charged,VIN,3039892,245556,Protected,219607,780,215744,174.0,ok
2025-12-01T01:47:35Z,MOD-X-00958,29,476,864,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,244980,Protected,216007,767,212143,174.0,ok
2025-12-01T00:47:35Z,MOD-X-00958,29,465,850,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,62.5,%,-9,RSRQ,dB,86.66,%,-78,RSRP,dBm,100.0,charged,VIN,3039892,244980,Protected,212407,754,208544,174.0,ok
2025-11-30T23:47:35Z,MOD-X-00958,29,522,836,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,62.5,%,-9,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,244564,Protected,208807,741,204944,174.0,ok
2025-11-30T22:47:35Z,MOD-X-00958,28,513,822,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,244372,Protected,205207,728,201343,174.0,ok
2025-11-30T21:47:35Z,MOD-X-00958,28,424,808,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,62.5,%,-9,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,244436,Protected,201607,715,197743,174.0,ok
2025-11-30T20:47:35Z,MOD-X-00958,26,518,794,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,246132,Protected,198007,702,194143,174.0,ok
2025-11-30T19:47:35Z,MOD-X-00958,26,499,780,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,243828,Protected,194407,689,190544,174.0,ok
2025-11-30T18:47:36Z,MOD-X-00958,26,504,766,0,1,error,1,0,Cellular,connected,0,Wi-Fi,-100,-100,-100,-100,24912898,24832,311,480,Verizon Wireless,LTE,1,unknown,0,0,connected,LTE Cat-M1,50.0,%,-10,RSRQ,dB,85.0,%,-79,RSRP,dBm,100.0,charged,VIN,3039892,243412,Protected,190807,676,186944,174.0,ok
