datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-09T05:00:00.000Z,2025-11-09T06:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.65,calibration-missing,,16,calibration-missing,,18,calibration-missing,,9.60,calibration-missing,,10,calibration-missing,,57.13,calibration-missing,,57,calibration-missing,,43.88,calibration-missing,,42.16,sensor-ready,42.16,35.65,sensor-ready,35.65,27.08,calibration-missing,,39.50,sensor-ready,39.50,46.73,calibrated-ready,19.82,47,calibrated-ready,20,36.18,calibrated-ready,15.58,45.98,calibrated-ready,18.86,127,calibrated-ready,69,41.67,sensor-ready,41.67,35.23,sensor-ready,35.23,,,,77.06,sensor-ready,77.06,,,,10.19,sensor-ready,10.19,,,,,,
DYITV0908,A44MFTF3,CLARITY_NODE,hour,2025-11-09T05:00:00.000Z,2025-11-09T06:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98,calibration-missing,,12,calibration-missing,,14,calibration-missing,,9.89,calibration-missing,,10,calibration-missing,,56.50,calibration-missing,,56,calibration-missing,,45.10,calibration-missing,,43.92,sensor-ready,43.92,37.37,sensor-ready,37.37,27.67,calibration-missing,,41.29,sensor-ready,41.29,44.68,calibrated-ready,20.35,45,calibrated-ready,20,36.28,calibrated-ready,16.31,44.39,calibrated-ready,19.65,123,calibrated-ready,71,43.50,sensor-ready,43.50,36.94,sensor-ready,36.94,,,,76.15,sensor-ready,76.15,,,,10.13,sensor-ready,10.13,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-09T06:00:00.000Z,2025-11-09T07:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.92,calibration-missing,,16,calibration-missing,,18,calibration-missing,,10.43,calibration-missing,,10,calibration-missing,,58.15,calibration-missing,,58,calibration-missing,,43.50,calibration-missing,,42.17,sensor-ready,42.17,35.02,sensor-ready,35.02,27.13,calibration-missing,,39.32,sensor-ready,39.32,47.21,calibrated-ready,20.40,47,calibrated-ready,20,35.86,calibrated-ready,15.54,46.60,calibrated-ready,19.63,128,calibrated-ready,71,41.70,sensor-ready,41.70,34.61,sensor-ready,34.61,,,,75.60,sensor-ready,75.60,,,,10.36,sensor-ready,10.36,,,,,,
DYITV0908,A44MFTF3,CLARITY_NODE,hour,2025-11-09T06:00:00.000Z,2025-11-09T07:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09,calibration-missing,,12,calibration-missing,,13,calibration-missing,,15.67,calibration-missing,,16,calibration-missing,,56.13,calibration-missing,,56,calibration-missing,,44.60,calibration-missing,,42.83,sensor-ready,42.83,36.63,sensor-ready,36.63,27.27,calibration-missing,,40.20,sensor-ready,40.20,45.06,calibrated-ready,20.37,45,calibrated-ready,20,35.89,calibrated-ready,16.20,44.73,calibrated-ready,20.01,124,calibrated-ready,71,42.42,sensor-ready,42.42,36.21,sensor-ready,36.21,,,,74.84,sensor-ready,74.84,,,,10.32,sensor-ready,10.32,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-09T07:00:00.000Z,2025-11-09T08:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.89,calibration-missing,,19,calibration-missing,,21,calibration-missing,,8.29,calibration-missing,,8,calibration-missing,,60.05,calibration-missing,,60,calibration-missing,,43.18,calibration-missing,,44.09,sensor-ready,44.09,34.49,sensor-ready,34.49,28.14,calibration-missing,,41.29,sensor-ready,41.29,49.11,calibrated-ready,20.65,49,calibrated-ready,21,35.63,calibrated-ready,15.51,47.86,calibrated-ready,20.14,131,calibrated-ready,71,43.49,sensor-ready,43.49,34.08,sensor-ready,34.08,,,,77.20,sensor-ready,77.20,,,,9.93,sensor-ready,9.93,,,,,,
DYITV0908,A44MFTF3,CLARITY_NODE,hour,2025-11-09T07:00:00.000Z,2025-11-09T08:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.39,calibration-missing,,16,calibration-missing,,17,calibration-missing,,7.64,calibration-missing,,8,calibration-missing,,58.44,calibration-missing,,58,calibration-missing,,44.23,calibration-missing,,45.18,sensor-ready,45.18,36.10,sensor-ready,36.10,28.39,calibration-missing,,42.37,sensor-ready,42.37,47.13,calibrated-ready,20.77,47,calibrated-ready,21,35.61,calibrated-ready,16.14,45.94,calibrated-ready,20.39,127,calibrated-ready,72,44.70,sensor-ready,44.70,35.69,sensor-ready,35.69,,,,76.47,sensor-ready,76.47,,,,9.82,sensor-ready,9.82,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-09T08:00:00.000Z,2025-11-09T09:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.52,calibration-missing,,19,calibration-missing,,21,calibration-missing,,6.87,calibration-missing,,7,calibration-missing,,63.18,calibration-missing,,63,calibration-missing,,42.94,calibration-missing,,43.28,sensor-ready,43.28,33.94,sensor-ready,33.94,28.31,calibration-missing,,40.15,sensor-ready,40.15,51.10,calibrated-ready,20.02,51,calibrated-ready,20,35.44,calibrated-ready,15.44,49.48,calibrated-ready,20.08,135,calibrated-ready,71,42.68,sensor-ready,42.68,33.53,sensor-ready,33.53,,,,81.12,sensor-ready,81.12,,,,8.83,sensor-ready,8.83,,,,,,
DYITV0908,A44MFTF3,CLARITY_NODE,hour,2025-11-09T08:00:00.000Z,2025-11-09T09:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09,calibration-missing,,19,calibration-missing,,20,calibration-missing,,5.90,calibration-missing,,6,calibration-missing,,62.78,calibration-missing,,63,calibration-missing,,43.92,calibration-missing,,45.62,sensor-ready,45.62,35.58,sensor-ready,35.58,29.06,calibration-missing,,42.54,sensor-ready,42.54,50.04,calibrated-ready,20.69,50,calibrated-ready,21,35.42,calibrated-ready,16.05,47.99,calibrated-ready,20.54,132,calibrated-ready,72,45.04,sensor-ready,45.04,35.17,sensor-ready,35.17,,,,80.18,sensor-ready,80.18,,,,8.87,sensor-ready,8.87,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-09T09:00:00.000Z,2025-11-09T10:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.62,calibration-missing,,19,calibration-missing,,21,calibration-missing,,4.07,calibration-missing,,4,calibration-missing,,67.91,calibration-missing,,68,calibration-missing,,42.64,calibration-missing,,45.92,sensor-ready,45.92,33.35,sensor-ready,33.35,30.16,calibration-missing,,42.55,sensor-ready,42.55,54.56,calibrated-ready,20.14,55,calibrated-ready,20,35.21,calibrated-ready,15.32,52.03,calibrated-ready,20.11,142,calibrated-ready,71,45.30,sensor-ready,45.30,32.94,sensor-ready,32.94,,,,85.08,sensor-ready,85.08,,,,7.80,sensor-ready,7.80,,,,,,
DYITV0908,A44MFTF3,CLARITY_NODE,hour,2025-11-09T09:00:00.000Z,2025-11-09T10:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.91,calibration-missing,,15,calibration-missing,,17,calibration-missing,,4.27,calibration-missing,,4,calibration-missing,,68.63,calibration-missing,,69,calibration-missing,,43.73,calibration-missing,,47.79,sensor-ready,47.79,35.10,sensor-ready,35.10,30.42,calibration-missing,,44.44,sensor-ready,44.44,53.88,calibrated-ready,21.36,54,calibrated-ready,21,35.28,calibrated-ready,15.98,50.94,calibrated-ready,20.95,139,calibrated-ready,73,47.12,sensor-ready,47.12,34.70,sensor-ready,34.70,,,,82.94,sensor-ready,82.94,,,,7.86,sensor-ready,7.86,,,,,,
