"Location","Device.sn","Manufacturer","Parameter","R.squared","P.values","Target.R.squared","rmse","Target.rmse"
"Harrisburg","MOD-X-00958","quantaq","PM2.5","0.97","2.139003e-47",">=0.70","0.5","<=7µg/m^3"
"Harrisburg","A93NM49L","clarity","PM2.5","0.957","1.195538e-42",">=0.70","0.6","<=7µg/m^3"
"Harrisburg","airgradient:588c8135a6ec","airgradient","PM2.5","0.942","1.05461e-25",">=0.70","0.8","<=7µg/m^3"
"Harrisburg","MOD-X-00958","quantaq","OZONE","0.723","0e+00",">=0.80","6.3","<=5ppb"
"Harrisburg","A93NM49L","clarity","OZONE","0.752","0e+00",">=0.80","6","<=5ppb"
"Harrisburg","airgradient:588c8135a6ec","airgradient","OZONE","0.632","4.744426e-214",">=0.80","7.3","<=5ppb"
"Philly-MON","A636FW6Q","clarity","PM2.5","0.942","3.525698e-23",">=0.70","1.3","<=7µg/m^3"
"Philly-MON","airgradient:588c813fe180","airgradient","PM2.5","0.92","6.928558e-17",">=0.70","1.5","<=7µg/m^3"
"Philly-MON","A636FW6Q","clarity","NO2","0.23","5.345159e-45",">=0.70","4.5","<=5ppb"
"Philly-MON","airgradient:588c813fe180","airgradient","NO2","0.356","1.536529e-61",">=0.70","4.1","<=5ppb"
"Philly-MON","A636FW6Q","clarity","CO","0.798","2.429596e-275",">=0.80","0","<=1ppm"
"Philly-NEW","A44MFTF3","clarity","PM2.5","0.663","4.785889e-09",">=0.70","1.6","<=7µg/m^3"
"Philly-NEW","MOD-X-00959","quantaq","PM2.5","0.741","1.331475e-10",">=0.70","1.4","<=7µg/m^3"
"Philly-NEW","airgradient:588c81359ef8","airgradient","PM2.5","0.637","3.595473e-07",">=0.70","1.7","<=7µg/m^3"
"Philly-NEW","A44MFTF3","clarity","OZONE","0.824","3.673595e-300",">=0.80","5.4","<=5ppb"
"Philly-NEW","MOD-X-00959","quantaq","OZONE","0.89","0e+00",">=0.80","4.3","<=5ppb"
"Philly-NEW","airgradient:588c81359ef8","airgradient","OZONE","0.728","1.025456e-184",">=0.80","6.9","<=5ppb"
"Philly-NEW","A44MFTF3","clarity","NO2","0.277","2.019119e-57",">=0.70","4.8","<=5ppb"
"Philly-NEW","MOD-X-00959","quantaq","NO2","0.203","8.03833e-39",">=0.70","5.1","<=5ppb"
"Philly-NEW","airgradient:588c81359ef8","airgradient","NO2","0.588","2.949638e-127",">=0.70","3.8","<=5ppb"
"Philly-NEW","A44MFTF3","clarity","CO","0.481","1.154292e-111",">=0.80","0","<=1ppm"
"Philly-NEW","MOD-X-00959","quantaq","CO","0.311","2.646471e-61",">=0.80","0","<=1ppm"
