Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (μg/m³) raw,PM2.5 (μg/m³) corrected,0.3μm particle count,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (°C) raw,Temperature (°C) corrected,Heat Index (°C),Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (μg/m³),PM10 (μg/m³),measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,6/16/2026 23:00,2026-06-17T03:00:00.000Z,20,4.2,3.9,782,454,454,18.9,18.9,18.8,55,55,,34463,19089,3.2,4.5,415.2,387.4,300.8,297.9,320.2,27.8,8.5,199.2,21.2,1.1,0.1,0,4.2,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,6/16/2026 22:00,2026-06-17T02:00:00.000Z,20,3.3,3.2,645,452,452,19,19,19.1,54,54,,34515,19057,2.5,3.4,413.8,387.3,300.5,297.7,320.7,26.5,7.6,165.9,18.5,0.3,0,0,3.3,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,6/16/2026 21:00,2026-06-17T01:00:00.000Z,20,3.1,3.2,641,448,448,20,20,20,53,53,,34655,19188,2.4,3.3,415.1,387.1,300.7,297.7,321.8,28,8.8,164.5,16.8,0.9,0,0,3.1,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,6/16/2026 20:00,2026-06-17T00:00:00.000Z,20,1.9,2.7,532,440,440,21.8,21.8,21.7,46,46,,34390,18854,1.4,2.1,415.5,386.7,300.1,297.6,323.8,28.8,5.8,133.8,13.6,0.1,0,0,1.9,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/16/2026 19:00,2026-06-16T23:00:00.000Z,20,1.2,2.3,456,436,436,23.4,23.4,23.4,41,41,,34545,18900,0.8,1.4,416.5,386.6,299.6,297.6,325.7,30,1.7,116.3,10.4,0,0,0,1.3,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/16/2026 18:00,2026-06-16T22:00:00.000Z,20,1.3,2.3,464,431,431,24.8,24.8,24.4,39,39,,34458,18663,0.8,1.3,415,386.2,299.1,297.5,327.9,28.8,-1.2,116,11.6,0.1,0,0,1.2,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/16/2026 17:00,2026-06-16T21:00:00.000Z,20,1.2,2.3,465,430,430,27.4,27.4,26.8,35,35,,34262,18443,0.8,1.3,415.9,386.2,299.2,297.9,331.3,29.7,-3.1,116.4,10.3,0.2,0.1,0,1.2,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/16/2026 16:00,2026-06-16T20:00:00.000Z,20,1.3,2.3,464,433,433,28.7,28.7,27.8,32,32,,34301,18515,0.7,1.4,418.8,386.2,299.5,298.1,332.4,32.6,-2.4,117.4,12.5,0.3,0,0,1.3,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/16/2026 15:00,2026-06-16T19:00:00.000Z,20,1.4,2.3,454,437,437,29.6,29.6,28.5,30,30,,34258,18416,0.7,1.5,416,386.5,298.5,298.4,332.9,29.5,-12.3,123.4,14.9,0.5,0,0,1.6,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/16/2026 14:00,2026-06-16T18:00:00.000Z,20,1.2,2.3,464,442,442,28.6,28.6,27.6,31,31,,33988,18237,0.7,1.3,416.9,385.7,298.7,297.8,332.3,31.2,-5.8,121.2,11.8,0.2,0,0,1.3,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/16/2026 13:00,2026-06-16T17:00:00.000Z,20,2,2.6,527,445,445,29.6,29.6,28.4,30,30,,33430,17843,1,2.1,414.2,385.9,298.1,298,334,28.4,-11.8,123.8,16,0.4,0,0,1.6,,,,,,,
