Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (μg/m³) raw,PM2.5 (μg/m³) corrected,0.3μm particle count,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (°C) raw,Temperature (°C) corrected,Heat Index (°C),Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (μg/m³),PM10 (μg/m³),measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,FALSE,6/6/2026 23:00,2026-06-07T03:00:00.000Z,20,12.6,7.3,1815,430,430,20,20,19.9,94,94,,33636,19365,9.6,12.8,402.6,385.5,287.1,290.6,321.6,17.1,10.1,505.5,80.4,1.9,0,0,12.5,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,FALSE,6/6/2026 22:00,2026-06-07T02:00:00.000Z,20,14,8,1998,427,427,20.4,20.4,20.4,94,94,,33590,19383,10.6,14.3,404.9,385.8,288,290.8,322.2,19,15,561.7,88.9,1.6,0,0,14.1,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,FALSE,6/6/2026 21:00,2026-06-07T01:00:00.000Z,20,13.2,7.6,1901,436,436,21,21,21,93,93,,33407,19346,9.9,13.5,404.3,386,289.6,291.2,322.8,18.3,23.3,536.7,85.5,2.3,0,0,13.4,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,FALSE,6/6/2026 20:00,2026-06-07T00:00:00.000Z,20,8.7,5.5,1369,418,418,21.3,21.3,21.3,89,89,,33546,19478,6.6,9.2,413.3,385.2,292.3,290.9,323.3,28.1,45.4,378.9,56.4,1.8,0.1,0,8.7,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,TRUE,6/6/2026 19:00,2026-06-06T23:00:00.000Z,20,9.5,6.4,1600,405,405,25.9,25.9,26.4,65,65,,33587,19301,7.6,9.8,417,383.1,289.2,289.1,329.1,33.9,35.6,456.5,56.1,1.1,0.3,0,10,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,TRUE,6/6/2026 18:00,2026-06-06T22:00:00.000Z,20,19,12,3007,406,406,30.4,30.4,31.5,49,49,,33317,19105,15.8,19.3,413.8,384,287.3,289.6,332.5,29.8,18.8,827.8,101.2,1.4,0,0,19.2,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,TRUE,6/6/2026 17:00,2026-06-06T21:00:00.000Z,20,17.6,11.3,2825,400,400,31.9,31.9,33.3,47,47,,33227,18990,14.6,17.8,412.2,383.6,286.1,289.3,334.4,28.5,11.9,768.2,90.1,1.1,0,0,17.7,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,TRUE,6/6/2026 16:00,2026-06-06T20:00:00.000Z,20,15.2,10,2500,404,404,33.5,33.5,35.2,43,43,,33116,18837,12.8,15.4,412.2,383,286,288.4,336.2,29.3,17.8,668.4,75.9,0.9,0,0,15.2,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,TRUE,6/6/2026 15:00,2026-06-06T19:00:00.000Z,20,15.1,10,2492,408,408,35.9,35.9,38.2,38,38,,32978,18727,12.6,15.2,408.6,383,283.4,288.2,338.1,25.6,-0.2,668.9,79.5,0.9,0,0,15.1,,,,,,,
192212,Collocation-Philly-Montgomery-012,,Outdoor,airgradient:588c813fe180,TRUE,6/6/2026 14:00,2026-06-06T18:00:00.000Z,20,15.9,10.6,2639,406,406,36.2,36.2,38.7,37,37,,32882,18671,13.4,16,409.1,382.6,282.6,287.8,339.1,26.6,-2.1,711.7,79.3,0.9,0,0,16,,,,,,,
