Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (μg/m³) raw,PM2.5 (μg/m³) corrected,0.3μm particle count,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (°C) raw,Temperature (°C) corrected,Heat Index (°C),Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (μg/m³),PM10 (μg/m³),measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,FALSE,6/6/2026 23:00,2026-06-07T03:00:00.000Z,20,10.1,7.5,1493,436,436,21.8,21.8,21.7,82,82,,32987,18475,7.6,10.6,,,,,,,,412.8,64.7,2,0.1,0,10.1,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,FALSE,6/6/2026 22:00,2026-06-07T02:00:00.000Z,20,10.9,8,1604,440,440,22.1,22.1,22.1,83,83,,32921,18528,8.2,11.2,,,,,,,,442.5,70.4,1.2,0.1,0,10.9,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,FALSE,6/6/2026 21:00,2026-06-07T01:00:00.000Z,20,11,7.9,1586,441,441,21.8,21.8,21.9,86,86,,32857,18506,8.2,11.4,,,,,,,,443.1,71.7,2.1,0.1,0.1,11,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,FALSE,6/6/2026 20:00,2026-06-07T00:00:00.000Z,20,7.8,6.2,1231,425,425,21.8,21.8,21.8,85,85,,32939,18470,5.9,8.4,,,,,,,,327.8,50.2,1.6,0.3,0.2,7.6,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,TRUE,6/6/2026 19:00,2026-06-06T23:00:00.000Z,20,15.8,10.8,2158,428,428,27,27,27.5,60,60,,32692,18121,10.5,19.8,,,,,,,,543.9,103.5,16.5,6.2,4.6,15.3,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,TRUE,6/6/2026 18:00,2026-06-06T22:00:00.000Z,20,18,13.6,2728,443,443,30.6,30.6,31.2,46,46,,32427,17898,14.4,18.4,,,,,,,,740.4,97.3,2.5,0,0,18,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,TRUE,6/6/2026 17:00,2026-06-06T21:00:00.000Z,20,16.1,12.6,2519,451,451,32.3,32.3,33.2,42,42,,32211,17811,13,16.4,,,,,,,,679.1,89.3,1.6,0.1,0,16.1,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,TRUE,6/6/2026 16:00,2026-06-06T20:00:00.000Z,20,15,11.8,2361,455,455,33.1,33.1,34,40,40,,32146,17753,12.3,15.2,,,,,,,,643.6,82.1,1.7,0,0,15.1,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,TRUE,6/6/2026 15:00,2026-06-06T19:00:00.000Z,20,16.1,12.5,2507,458,458,34.2,34.2,35.4,38,38,,32032,17732,13.2,16.4,,,,,,,,680.6,85.1,1.8,0.1,0,16,,,,,,,
190624,Collocation-Philly-New-008,,Outdoor,airgradient:588c813fe1e4,TRUE,6/6/2026 14:00,2026-06-06T18:00:00.000Z,20,15,12,2409,459,459,34.7,34.7,35.7,37,37,,31944,17642,12.4,15.3,,,,,,,,644,78.2,1.4,0,0,14.8,,,,,,,
