Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (μg/m³) raw,PM2.5 (μg/m³) corrected,0.3μm particle count,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (°C) raw,Temperature (°C) corrected,Heat Index (°C),Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (μg/m³),PM10 (μg/m³),measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/1/2026 13:00,2026-06-01T17:00:00.000Z,20,3,3.2,637,429,429,30.6,30.6,29.3,30,30,,33954,18178,1.9,3.4,411.5,386.4,298.1,298.4,334.1,25.1,-14.4,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/1/2026 12:00,2026-06-01T16:00:00.000Z,20,2.8,3.1,622,431,431,29.9,29.9,29.1,35,35,,33858,18372,1.7,3,410.9,386.8,298.4,298.6,333.6,24.1,-13.5,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/1/2026 11:00,2026-06-01T15:00:00.000Z,20,6,4.6,916,431,431,29.6,29.6,29,37,37,,33809,18446,3.4,6.9,411.3,387,298.5,299,333.6,24.3,-15.9,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/1/2026 10:00,2026-06-01T14:00:00.000Z,20,3.4,3.4,689,438,438,27.6,27.6,27.2,38,38,,33872,18445,2.2,3.8,410.7,387.3,298.4,299,331.3,23.3,-16.5,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/1/2026 9:00,2026-06-01T13:00:00.000Z,20,4.1,3.7,743,446,446,25.3,25.3,25,42,42,,33951,18502,2.5,4.5,411.1,388.4,298.9,299.5,328,22.7,-16.5,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,6/1/2026 8:00,2026-06-01T12:00:00.000Z,20,8.9,6.9,1386,470,470,20.9,20.9,20.9,51,51,,33940,18535,6.4,9.7,409.7,389.3,301.8,299.5,322,20.5,3.8,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,6/1/2026 7:00,2026-06-01T11:00:00.000Z,20,10.9,6.6,1330,490,490,15.1,15.1,15.1,72,72,,33817,18416,6.9,11.7,409.7,388.9,304.4,298.6,315.5,20.8,28.9,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,6/1/2026 6:00,2026-06-01T10:00:00.000Z,20,10.6,6.3,1250,493,493,11.6,11.6,11.6,82,82,,33849,18304,6.9,11.4,409.3,388.1,304,297.9,312.6,21.2,31,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,6/1/2026 5:00,2026-06-01T09:00:00.000Z,20,8.3,5,1009,500,500,11,11,11,82,82,,33942,18257,5.2,9.1,409,387.8,302.9,297.6,312.1,21.2,25.1,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,6/1/2026 4:00,2026-06-01T08:00:00.000Z,20,9.9,6.1,1212,500,500,11.3,11.3,11.3,81,81,,33748,18153,6.5,10.7,408.8,387.6,304.1,297.5,312.8,21.2,34.4,,,,,,,,,,,,,
