Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (μg/m³) raw,PM2.5 (μg/m³) corrected,0.3μm particle count,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (°C) raw,Temperature (°C) corrected,Heat Index (°C),Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (μg/m³),PM10 (μg/m³),measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,6/1/2026 13:00,2026-06-01T17:00:00.000Z,20,3.1,3.2,633,423,423,28.6,28.6,27.4,26,26,,34298,18982,2,3.6,415,393,288.8,296.4,330.6,22.1,2,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,6/1/2026 12:00,2026-06-01T16:00:00.000Z,20,3.1,3.1,629,420,420,27.5,27.5,26.8,31,31,,34263,19103,2,3.4,414.7,392.8,289.1,296.3,330.3,21.9,4.6,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,6/1/2026 11:00,2026-06-01T15:00:00.000Z,20,3.1,3.2,647,421,421,26.7,26.7,26.3,36,36,,34126,19171,2,3.4,414.9,393.3,289.5,296.5,329.3,21.6,5.9,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,6/1/2026 10:00,2026-06-01T14:00:00.000Z,20,3,3.2,632,422,422,26.2,26.2,25.9,38,38,,34116,19262,2,3.4,413,393.4,289.2,297,329.3,19.5,0.6,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,6/1/2026 9:00,2026-06-01T13:00:00.000Z,20,5.1,4.2,842,424,424,24.8,24.8,24.6,45,45,,34056,19374,3.3,5.5,411.2,394.9,289.9,298.1,327.7,16.3,-2.1,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,6/1/2026 8:00,2026-06-01T12:00:00.000Z,20,6,4.5,892,430,430,20.9,20.9,21,56,56,,34045,19392,4.1,6.6,411.8,396.3,290.7,298.4,322.5,15.5,1.3,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,6/1/2026 7:00,2026-06-01T11:00:00.000Z,20,8.3,5.5,1091,446,446,16.8,16.8,16.8,68,68,,33798,19169,5.4,9,413.2,395.4,292.8,297.1,318.1,17.8,25.7,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,6/1/2026 6:00,2026-06-01T10:00:00.000Z,20,10.1,6.3,1264,461,461,15.6,15.6,15.7,69,69,,33778,19056,6.8,11.1,414.1,395.2,293.3,296.8,316.9,18.9,31.4,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,6/1/2026 5:00,2026-06-01T09:00:00.000Z,20,11.5,7,1406,464,464,15.6,15.6,15.7,70,70,,33592,18966,7.7,12.8,413.4,395.2,295.9,296.8,316.9,18.2,50.7,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,6/1/2026 4:00,2026-06-01T08:00:00.000Z,20,10.8,6.7,1341,455,455,15.7,15.7,15.8,71,71,,33733,19180,7.2,11.6,412,394.6,292.9,296.4,317.4,17.4,32,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,6/1/2026 3:00,2026-06-01T07:00:00.000Z,20,8.7,6.1,1215,438,438,17,17,17,64,64,,34137,19631,6.2,9.2,416.9,395,290.8,296.6,318.5,22,15.1,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,6/1/2026 2:00,2026-06-01T06:00:00.000Z,20,8.4,5.7,1135,445,445,17.6,17.6,17.6,63,63,,33993,19584,5.8,9.2,416.3,395.1,291.6,296.8,319.1,21.2,19.6,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,6/1/2026 1:00,2026-06-01T05:00:00.000Z,20,6.7,4.8,963,446,446,18.3,18.3,18.2,62,62,,33946,19670,4.6,7.4,418.1,395.3,291,297.1,319.8,22.8,13.2,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,6/1/2026 0:00,2026-06-01T04:00:00.000Z,20,5.9,4.3,850,446,446,18.4,18.4,18.3,62,62,,34318,19999,3.9,6.8,418.3,395.3,292,297.1,319.8,23,20.3,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,5/31/2026 23:00,2026-06-01T03:00:00.000Z,20,5.4,3.9,782,444,444,18.3,18.3,18.3,58,58,,34451,20073,3.6,6.1,418.2,395,292.3,296.8,319.7,23.2,24.9,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,5/31/2026 22:00,2026-06-01T02:00:00.000Z,20,5.9,4.2,832,441,441,19,19,19,55,55,,34376,19933,3.9,6.6,418.5,394.6,293.2,296.5,320.4,23.8,33.4,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,5/31/2026 21:00,2026-06-01T01:00:00.000Z,20,5.3,4.1,818,442,442,20.9,20.9,21,48,48,,34280,19820,3.8,5.7,421,393.9,293.1,296.1,322.4,27.2,35,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,FALSE,5/31/2026 20:00,2026-06-01T00:00:00.000Z,20,4.9,3.8,761,425,425,22.7,22.7,22.8,36,36,,34422,19734,3.4,5.2,418.8,393.8,290.2,296.2,324.1,25,13.8,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,5/31/2026 19:00,2026-05-31T23:00:00.000Z,20,4.6,3.8,756,419,419,23.7,23.7,23.6,35,35,,34490,19672,3.2,4.9,419.4,393.5,290.3,296.1,325.3,25.9,15.1,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,5/31/2026 18:00,2026-05-31T22:00:00.000Z,20,4,3.7,733,418,418,24.9,24.9,24.3,33,33,,34397,19487,2.7,4.3,418.7,393.4,289.7,296.2,326.7,25.3,9.7,,,,,,,,,,,,,
192214,Collocation-Philly-New-011,,Outdoor,airgradient:588c81359ef8,TRUE,5/31/2026 17:00,2026-05-31T21:00:00.000Z,20,4.1,3.7,748,417,417,25.8,25.8,25.2,33,33,,34318,19347,2.7,4.3,418,393.4,289.7,296.6,327.7,24.6,7.1,,,,,,,,,,,,,
