nodeId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
A44MFTF3,A44MFTF3,CLARITY_NODE,hour,2026-01-04T05:00:00.000Z,2026-01-04T06:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78,calibration-missing,,9,calibration-missing,,11,calibration-missing,,10.84,calibration-missing,,11,calibration-missing,,56.30,calibration-missing,,56,calibration-missing,,37.37,calibration-missing,,27.44,sensor-ready,27.44,19.10,sensor-ready,19.10,25.42,calibration-missing,,25.83,sensor-ready,25.83,44.18,calibrated-ready,22.01,44,calibrated-ready,22,30.29,calibrated-ready,16.38,45.25,calibrated-ready,22.21,125,calibrated-ready,75,27.08,sensor-ready,27.08,18.87,sensor-ready,18.87,,,,58.86,sensor-ready,58.86,,,,-1.99,sensor-ready,-1.99,,,,,,
A93NM49L,A93NM49L,CLARITY_NODE,hour,2026-01-04T05:00:00.000Z,2026-01-04T06:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48,calibration-missing,,11,calibration-missing,,12,calibration-missing,,12.17,calibration-missing,,12,calibration-missing,,70.96,calibration-missing,,71,calibration-missing,,38.59,calibration-missing,,32.84,sensor-ready,32.84,18.73,sensor-ready,18.73,29.17,calibration-missing,,30.76,sensor-ready,30.76,52.59,calibrated-ready,26.60,53,calibrated-ready,27,31.45,calibrated-ready,16.69,49.49,calibrated-ready,23.93,135,calibrated-ready,79,32.34,sensor-ready,32.34,18.47,sensor-ready,18.47,,,,59.28,sensor-ready,59.28,,,,-1.90,sensor-ready,-1.90,,,,,,
A44MFTF3,A44MFTF3,CLARITY_NODE,hour,2026-01-04T06:00:00.000Z,2026-01-04T07:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61,calibration-missing,,8,calibration-missing,,10,calibration-missing,,14.61,calibration-missing,,15,calibration-missing,,45.81,calibration-missing,,46,calibration-missing,,38.51,calibration-missing,,22.94,sensor-ready,22.94,19.62,sensor-ready,19.62,21.45,calibration-missing,,21.58,sensor-ready,21.58,37.38,calibrated-ready,19.16,37,calibrated-ready,19,31.21,calibrated-ready,16.77,41.46,calibrated-ready,21.00,116,calibrated-ready,73,22.66,sensor-ready,22.66,19.38,sensor-ready,19.38,,,,56.02,sensor-ready,56.02,,,,-1.70,sensor-ready,-1.70,,,,,,
A93NM49L,A93NM49L,CLARITY_NODE,hour,2026-01-04T06:00:00.000Z,2026-01-04T07:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99,calibration-missing,,9,calibration-missing,,11,calibration-missing,,15.27,calibration-missing,,15,calibration-missing,,50.37,calibration-missing,,50,calibration-missing,,39.77,calibration-missing,,21.86,sensor-ready,21.86,19.15,sensor-ready,19.15,20.12,calibration-missing,,20.41,sensor-ready,20.41,39.86,calibrated-ready,20.10,40,calibrated-ready,20,32.34,calibrated-ready,17.07,44.97,calibrated-ready,22.46,124,calibrated-ready,76,21.47,sensor-ready,21.47,18.88,sensor-ready,18.88,,,,56.47,sensor-ready,56.47,,,,-1.59,sensor-ready,-1.59,,,,,,
A44MFTF3,A44MFTF3,CLARITY_NODE,hour,2026-01-04T07:00:00.000Z,2026-01-04T08:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.60,calibration-missing,,9,calibration-missing,,11,calibration-missing,,16.89,calibration-missing,,17,calibration-missing,,48.61,calibration-missing,,49,calibration-missing,,39.79,calibration-missing,,23.58,sensor-ready,23.58,20.18,sensor-ready,20.18,21.98,calibration-missing,,22.13,sensor-ready,22.13,38.67,calibrated-ready,19.21,39,calibrated-ready,19,32.20,calibrated-ready,17.18,40.12,calibrated-ready,20.29,112,calibrated-ready,72,23.27,sensor-ready,23.27,19.94,sensor-ready,19.94,,,,59.50,sensor-ready,59.50,,,,-1.68,sensor-ready,-1.68,,,,,,
A93NM49L,A93NM49L,CLARITY_NODE,hour,2026-01-04T07:00:00.000Z,2026-01-04T08:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59,calibration-missing,,8,calibration-missing,,10,calibration-missing,,19.88,calibration-missing,,20,calibration-missing,,51.36,calibration-missing,,51,calibration-missing,,41.16,calibration-missing,,22.97,sensor-ready,22.97,19.70,sensor-ready,19.70,20.47,calibration-missing,,21.43,sensor-ready,21.43,41.39,calibrated-ready,19.94,41,calibrated-ready,20,33.43,calibrated-ready,17.51,43.30,calibrated-ready,21.50,120,calibrated-ready,74,22.57,sensor-ready,22.57,19.42,sensor-ready,19.42,,,,59.11,sensor-ready,59.11,,,,-1.54,sensor-ready,-1.54,,,,,,
A44MFTF3,A44MFTF3,CLARITY_NODE,hour,2026-01-04T08:00:00.000Z,2026-01-04T09:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.70,calibration-missing,,9,calibration-missing,,11,calibration-missing,,17.97,calibration-missing,,18,calibration-missing,,60.41,calibration-missing,,60,calibration-missing,,41.59,calibration-missing,,27.81,sensor-ready,27.81,20.92,sensor-ready,20.92,26.48,calibration-missing,,26.05,sensor-ready,26.05,46.39,calibrated-ready,21.73,46,calibrated-ready,22,33.53,calibrated-ready,17.70,43.14,calibrated-ready,20.87,120,calibrated-ready,73,27.40,sensor-ready,27.40,20.66,sensor-ready,20.66,,,,64.56,sensor-ready,64.56,,,,-2.18,sensor-ready,-2.18,,,,,,
A93NM49L,A93NM49L,CLARITY_NODE,hour,2026-01-04T08:00:00.000Z,2026-01-04T09:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73,calibration-missing,,8,calibration-missing,,10,calibration-missing,,21.62,calibration-missing,,22,calibration-missing,,60.91,calibration-missing,,61,calibration-missing,,42.93,calibration-missing,,25.78,sensor-ready,25.78,20.36,sensor-ready,20.36,23.65,calibration-missing,,24.06,sensor-ready,24.06,47.24,calibrated-ready,21.44,47,calibrated-ready,21,34.76,calibrated-ready,18.00,45.14,calibrated-ready,21.48,125,calibrated-ready,74,25.30,sensor-ready,25.30,20.06,sensor-ready,20.06,,,,64.76,sensor-ready,64.76,,,,-2.04,sensor-ready,-2.04,,,,,,
A44MFTF3,A44MFTF3,CLARITY_NODE,hour,2026-01-04T09:00:00.000Z,2026-01-04T10:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62,calibration-missing,,9,calibration-missing,,11,calibration-missing,,16.17,calibration-missing,,16,calibration-missing,,59.17,calibration-missing,,59,calibration-missing,,43.13,calibration-missing,,27.35,sensor-ready,27.35,21.56,sensor-ready,21.56,25.22,calibration-missing,,25.67,sensor-ready,25.67,45.38,calibrated-ready,21.76,45,calibrated-ready,22,34.62,calibrated-ready,18.15,44.22,calibrated-ready,21.22,122,calibrated-ready,74,26.95,sensor-ready,26.95,21.29,sensor-ready,21.29,,,,62.98,sensor-ready,62.98,,,,-2.25,sensor-ready,-2.25,,,,,,
A93NM49L,A93NM49L,CLARITY_NODE,hour,2026-01-04T09:00:00.000Z,2026-01-04T10:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,calibration-missing,,8,calibration-missing,,10,calibration-missing,,20.09,calibration-missing,,20,calibration-missing,,63.86,calibration-missing,,64,calibration-missing,,44.66,calibration-missing,,27.59,sensor-ready,27.59,21.03,sensor-ready,21.03,25.48,calibration-missing,,25.85,sensor-ready,25.85,48.25,calibrated-ready,22.79,48,calibrated-ready,23,35.99,calibrated-ready,18.51,46.54,calibrated-ready,21.99,128,calibrated-ready,75,27.12,sensor-ready,27.12,20.72,sensor-ready,20.72,,,,63.69,sensor-ready,63.69,,,,-2.15,sensor-ready,-2.15,,,,,,
