period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,sample_rh,sample_temp,pm1,pm25,pm10,co,no,no2,o3
2025-11-09T00:00:00-05:00,2025-11-09T01:00:00-05:00,2025-11-09T05:00:00+00:00,2025-11-09T06:00:00+00:00,MOD-X-00959,59,71.578,12.215,16.345,17.045,25.864,-13.518,1.898,24.455,-28.382
2025-11-09T01:00:00-05:00,2025-11-09T02:00:00-05:00,2025-11-09T06:00:00+00:00,2025-11-09T07:00:00+00:00,MOD-X-00959,60,69.95,12.407,16.506,17.241,25.329,-21.942,2.18,23.166,-25.681
2025-11-09T02:00:00-05:00,2025-11-09T03:00:00-05:00,2025-11-09T07:00:00+00:00,2025-11-09T08:00:00+00:00,MOD-X-00959,60,72.04,11.853,16.928,17.595,25.275,-14.837,1.844,25.82,-31.029
2025-11-09T03:00:00-05:00,2025-11-09T04:00:00-05:00,2025-11-09T08:00:00+00:00,2025-11-09T09:00:00+00:00,MOD-X-00959,60,77.483,10.695,14.32,14.947,21.952,-13.46,0.977,25.973,-34.323
2025-11-09T04:00:00-05:00,2025-11-09T05:00:00-05:00,2025-11-09T09:00:00+00:00,2025-11-09T10:00:00+00:00,MOD-X-00959,60,80.67,9.837,12.943,13.575,19.191,-15.988,0.399,26.924,-37.093
2025-11-09T05:00:00-05:00,2025-11-09T06:00:00-05:00,2025-11-09T10:00:00+00:00,2025-11-09T11:00:00+00:00,MOD-X-00959,60,79.973,10.237,13.434,14.069,21.024,6.181,0.494,27.226,-36.578
2025-11-09T06:00:00-05:00,2025-11-09T07:00:00-05:00,2025-11-09T11:00:00+00:00,2025-11-09T12:00:00+00:00,MOD-X-00959,60,79.55,10.528,13.842,14.382,20.155,-5.844,0.569,26.278,-35.062
2025-11-09T07:00:00-05:00,2025-11-09T08:00:00-05:00,2025-11-09T12:00:00+00:00,2025-11-09T13:00:00+00:00,MOD-X-00959,60,77.79,11.313,14.395,14.908,21.085,-13.219,0.842,24.135,-29.618
2025-11-09T08:00:00-05:00,2025-11-09T09:00:00-05:00,2025-11-09T13:00:00+00:00,2025-11-09T14:00:00+00:00,MOD-X-00959,60,73.497,13.108,14.892,15.393,21.58,-27.875,1.472,21.658,-24.487
2025-11-09T09:00:00-05:00,2025-11-09T10:00:00-05:00,2025-11-09T14:00:00+00:00,2025-11-09T15:00:00+00:00,MOD-X-00959,60,70.81,14.463,13.272,13.778,20.237,-33.046,2.06,18.971,-22.879
2025-11-09T10:00:00-05:00,2025-11-09T11:00:00-05:00,2025-11-09T15:00:00+00:00,2025-11-09T16:00:00+00:00,MOD-X-00959,60,67.167,15.852,13.752,14.324,24.371,-35.627,2.012,13.624,-21.253
2025-11-09T11:00:00-05:00,2025-11-09T12:00:00-05:00,2025-11-09T16:00:00+00:00,2025-11-09T17:00:00+00:00,MOD-X-00959,60,68.09,16.335,11.517,11.979,16.302,-53.638,1.675,13.931,-16.187
2025-11-09T12:00:00-05:00,2025-11-09T13:00:00-05:00,2025-11-09T17:00:00+00:00,2025-11-09T18:00:00+00:00,MOD-X-00959,60,72.888,15.855,11.833,12.451,17.223,-49.829,1.525,18.86,-16.035
2025-11-09T13:00:00-05:00,2025-11-09T14:00:00-05:00,2025-11-09T18:00:00+00:00,2025-11-09T19:00:00+00:00,MOD-X-00959,60,73.737,15.6,12.718,13.335,19.152,-50.365,1.425,19.905,-17.12
2025-11-09T14:00:00-05:00,2025-11-09T15:00:00-05:00,2025-11-09T19:00:00+00:00,2025-11-09T20:00:00+00:00,MOD-X-00959,60,74.657,15.625,12.772,13.346,23.412,-45.169,1.226,18.541,-17.167
2025-11-09T15:00:00-05:00,2025-11-09T16:00:00-05:00,2025-11-09T20:00:00+00:00,2025-11-09T21:00:00+00:00,MOD-X-00959,60,74.49,15.947,14.715,15.354,23.613,-35.175,1.368,18.554,-18.697
2025-11-09T16:00:00-05:00,2025-11-09T17:00:00-05:00,2025-11-09T21:00:00+00:00,2025-11-09T22:00:00+00:00,MOD-X-00959,60,75.133,16.057,16.065,16.766,25.155,-27.393,1.335,21.537,-21.191
2025-11-09T17:00:00-05:00,2025-11-09T18:00:00-05:00,2025-11-09T22:00:00+00:00,2025-11-09T23:00:00+00:00,MOD-X-00959,60,77.477,15.3,16.476,17.1,24.46,-18.913,0.824,26.527,-28.064
