datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T00:00:00.000Z,2025-11-30T01:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.12,calibration-missing,,25,calibration-missing,,27,calibration-missing,,-2.71,calibration-missing,,,,,35.52,calibration-missing,,36,calibration-missing,,10.29,calibration-missing,,19.84,sensor-ready,19.84,7.20,sensor-ready,7.20,17.40,calibration-missing,,18.76,sensor-ready,18.76,30.44,calibrated-ready,13.85,30,calibrated-ready,14,8.86,calibrated-ready,6.90,25.81,calibrated-ready,12.94,82,calibrated-ready,58,19.61,sensor-ready,19.61,7.12,sensor-ready,7.12,,,,66.89,sensor-ready,66.89,,,,-1.23,sensor-ready,-1.23,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T01:00:00.000Z,2025-11-30T02:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.28,calibration-missing,,22,calibration-missing,,23,calibration-missing,,-1.29,calibration-missing,,,,,37.31,calibration-missing,,37,calibration-missing,,11.71,calibration-missing,,19.84,sensor-ready,19.84,7.89,sensor-ready,7.89,17.74,calibration-missing,,18.69,sensor-ready,18.69,31.73,calibrated-ready,14.45,32,calibrated-ready,14,10.05,calibrated-ready,7.32,28.77,calibrated-ready,13.70,88,calibrated-ready,60,19.56,sensor-ready,19.56,7.80,sensor-ready,7.80,,,,66.01,sensor-ready,66.01,,,,-0.82,sensor-ready,-0.82,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T02:00:00.000Z,2025-11-30T03:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.45,calibration-missing,,25,calibration-missing,,26,calibration-missing,,-2.80,calibration-missing,,,,,50.06,calibration-missing,,50,calibration-missing,,13.63,calibration-missing,,25.47,sensor-ready,25.47,8.83,sensor-ready,8.83,22.37,calibration-missing,,23.96,sensor-ready,23.96,40.82,calibrated-ready,18.72,41,calibrated-ready,19,11.65,calibrated-ready,7.91,34.80,calibrated-ready,16.21,99,calibrated-ready,64,25.14,sensor-ready,25.14,8.73,sensor-ready,8.73,,,,64.71,sensor-ready,64.71,,,,-0.26,sensor-ready,-0.26,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T03:00:00.000Z,2025-11-30T04:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.96,calibration-missing,,15,calibration-missing,,17,calibration-missing,,7.19,calibration-missing,,7,calibration-missing,,44.56,calibration-missing,,45,calibration-missing,,15.32,calibration-missing,,21.58,sensor-ready,21.58,9.60,sensor-ready,9.60,18.09,calibration-missing,,20.17,sensor-ready,20.17,35.18,calibrated-ready,17.51,35,calibrated-ready,18,12.97,calibrated-ready,8.44,34.99,calibrated-ready,16.86,99,calibrated-ready,65,21.22,sensor-ready,21.22,9.48,sensor-ready,9.48,,,,60.94,sensor-ready,60.94,,,,0.73,sensor-ready,0.73,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T04:00:00.000Z,2025-11-30T05:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79,calibration-missing,,9,calibration-missing,,11,calibration-missing,,18.16,calibration-missing,,18,calibration-missing,,32.90,calibration-missing,,33,calibration-missing,,16.52,calibration-missing,,18.13,sensor-ready,18.13,10.20,sensor-ready,10.20,14.67,calibration-missing,,16.98,sensor-ready,16.98,27.97,calibrated-ready,14.43,28,calibrated-ready,14,14.00,calibrated-ready,8.85,31.49,calibrated-ready,15.65,93,calibrated-ready,63,17.88,sensor-ready,17.88,10.08,sensor-ready,10.08,,,,58.17,sensor-ready,58.17,,,,1.81,sensor-ready,1.81,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T05:00:00.000Z,2025-11-30T06:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29,calibration-missing,,15,calibration-missing,,16,calibration-missing,,12.90,calibration-missing,,13,calibration-missing,,37.67,calibration-missing,,38,calibration-missing,,17.81,calibration-missing,,20.36,sensor-ready,20.36,10.86,sensor-ready,10.86,16.21,calibration-missing,,19.10,sensor-ready,19.10,30.88,calibrated-ready,15.95,31,calibrated-ready,16,15.05,calibrated-ready,9.29,31.19,calibrated-ready,15.80,92,calibrated-ready,63,20.08,sensor-ready,20.08,10.72,sensor-ready,10.72,,,,58.78,sensor-ready,58.78,,,,2.09,sensor-ready,2.09,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T06:00:00.000Z,2025-11-30T07:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27,calibration-missing,,9,calibration-missing,,10,calibration-missing,,22.89,calibration-missing,,23,calibration-missing,,30.07,calibration-missing,,30,calibration-missing,,18.80,calibration-missing,,17.47,sensor-ready,17.47,11.38,sensor-ready,11.38,13.98,calibration-missing,,16.40,sensor-ready,16.40,26.04,calibrated-ready,13.44,26,calibrated-ready,13,15.90,calibrated-ready,9.63,28.61,calibrated-ready,14.62,87,calibrated-ready,61,17.23,sensor-ready,17.23,11.24,sensor-ready,11.24,,,,58.94,sensor-ready,58.94,,,,2.36,sensor-ready,2.36,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T07:00:00.000Z,2025-11-30T08:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.84,calibration-missing,,11,calibration-missing,,13,calibration-missing,,20.83,calibration-missing,,21,calibration-missing,,27.34,calibration-missing,,27,calibration-missing,,19.70,calibration-missing,,15.77,sensor-ready,15.77,11.86,sensor-ready,11.86,12.00,calibration-missing,,14.78,sensor-ready,14.78,23.22,calibrated-ready,12.54,23,calibrated-ready,13,16.66,calibrated-ready,9.93,25.92,calibrated-ready,13.58,82,calibrated-ready,59,15.55,sensor-ready,15.55,11.71,sensor-ready,11.71,,,,58.24,sensor-ready,58.24,,,,2.51,sensor-ready,2.51,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T08:00:00.000Z,2025-11-30T09:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96,calibration-missing,,10,calibration-missing,,12,calibration-missing,,22.55,calibration-missing,,23,calibration-missing,,26.30,calibration-missing,,26,calibration-missing,,20.53,calibration-missing,,15.47,sensor-ready,15.47,12.31,sensor-ready,12.31,12.29,calibration-missing,,14.53,sensor-ready,14.53,22.06,calibrated-ready,11.91,22,calibrated-ready,12,17.35,calibrated-ready,10.21,23.99,calibrated-ready,12.75,79,calibrated-ready,58,15.29,sensor-ready,15.29,12.16,sensor-ready,12.16,,,,60.41,sensor-ready,60.41,,,,2.36,sensor-ready,2.36,,,,,,
DALCU7773,A93NM49L,CLARITY_NODE,hour,2025-11-30T09:00:00.000Z,2025-11-30T10:00:00.000Z,37.87902695,-122.30192900,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34,calibration-missing,,12,calibration-missing,,13,calibration-missing,,21.01,calibration-missing,,21,calibration-missing,,20.49,calibration-missing,,20,calibration-missing,,21.09,calibration-missing,,12.26,sensor-ready,12.26,12.65,sensor-ready,12.65,9.54,calibration-missing,,11.56,sensor-ready,11.56,17.31,calibrated-ready,9.76,17,calibrated-ready,10,17.84,calibrated-ready,10.39,20.65,calibrated-ready,11.25,72,calibrated-ready,55,12.13,sensor-ready,12.13,12.49,sensor-ready,12.49,,,,61.43,sensor-ready,61.43,,,,2.27,sensor-ready,2.27,,,,,,
