,source_id_clarity,output_frequency,start_of_period_utc_clarity,end_of_period_utc_clarity,no2_conc1_hour_mean_utc_clarity,rel_humid_internal1_hour_mean_clarity,temperature_internal1_hour_mean_clarity
0,A93NM49L,hour,2025-11-09 05:00:00+00:00,2025-11-09 06:00:00+00:00,17.65,77.06,10.19
1,A44MFTF3,hour,2025-11-09 05:00:00+00:00,2025-11-09 06:00:00+00:00,13.98,76.15,10.13
2,A93NM49L,hour,2025-11-09 06:00:00+00:00,2025-11-09 07:00:00+00:00,17.92,75.6,10.36
3,A44MFTF3,hour,2025-11-09 06:00:00+00:00,2025-11-09 07:00:00+00:00,13.09,74.84,10.32
4,A93NM49L,hour,2025-11-09 07:00:00+00:00,2025-11-09 08:00:00+00:00,20.89,77.2,9.93
5,A44MFTF3,hour,2025-11-09 07:00:00+00:00,2025-11-09 08:00:00+00:00,17.39,76.47,9.82
6,A93NM49L,hour,2025-11-09 08:00:00+00:00,2025-11-09 09:00:00+00:00,20.52,81.12,8.83
7,A44MFTF3,hour,2025-11-09 08:00:00+00:00,2025-11-09 09:00:00+00:00,20.09,80.18,8.87
8,A93NM49L,hour,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,20.62,85.08,7.8
9,A44MFTF3,hour,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,16.91,82.94,7.86
10,A93NM49L,hour,2025-11-09 10:00:00+00:00,2025-11-09 11:00:00+00:00,21.95,84.56,8.12
11,A44MFTF3,hour,2025-11-09 10:00:00+00:00,2025-11-09 11:00:00+00:00,17.76,83.47,8.14
12,A93NM49L,hour,2025-11-09 11:00:00+00:00,2025-11-09 12:00:00+00:00,22.92,84.87,8.42
13,A44MFTF3,hour,2025-11-09 11:00:00+00:00,2025-11-09 12:00:00+00:00,15.02,82.93,8.43
14,A93NM49L,hour,2025-11-09 12:00:00+00:00,2025-11-09 13:00:00+00:00,18.62,83.05,9.23
15,A44MFTF3,hour,2025-11-09 12:00:00+00:00,2025-11-09 13:00:00+00:00,12.46,82.1,9.14
16,A93NM49L,hour,2025-11-09 13:00:00+00:00,2025-11-09 14:00:00+00:00,16.33,79.39,11.03
