"datasourceId","sourceId","sourceType","outputFrequency","startOfPeriod","endOfPeriod","locationLatitude","locationLongitude","atmPressure1HourMean.raw","atmPressure1HourMean.status","atmPressure1HourMean.value","bcAllSources1HourMean.raw","bcAllSources1HourMean.status","bcAllSources1HourMean.value","bcBiomass1HourMean.raw","bcBiomass1HourMean.status","bcBiomass1HourMean.value","bcFossilFuel1HourMean.raw","bcFossilFuel1HourMean.status","bcFossilFuel1HourMean.value","bcSourcesArray1HourMean.raw","bcSourcesArray1HourMean.status","bcSourcesArray1HourMean.value","bcSpectralArrayIRGBU1HourMean.raw","bcSpectralArrayIRGBU1HourMean.status","bcSpectralArrayIRGBU1HourMean.value","bcSpectralB1HourMean.raw","bcSpectralB1HourMean.status","bcSpectralB1HourMean.value","bcSpectralG1HourMean.raw","bcSpectralG1HourMean.status","bcSpectralG1HourMean.value","bcSpectralIR1HourMean.raw","bcSpectralIR1HourMean.status","bcSpectralIR1HourMean.value","bcSpectralR1HourMean.raw","bcSpectralR1HourMean.status","bcSpectralR1HourMean.value","bcSpectralUV1HourMean.raw","bcSpectralUV1HourMean.status","bcSpectralUV1HourMean.value","co2Conc1HourMean.raw","co2Conc1HourMean.status","co2Conc1HourMean.value","coConc1HourMean.raw","coConc1HourMean.status","coConc1HourMean.value","no2Conc1HourMean.raw","no2Conc1HourMean.status","no2Conc1HourMean.value","no2Conc1HourMeanUkDefraAqi.raw","no2Conc1HourMeanUkDefraAqi.status","no2Conc1HourMeanUkDefraAqi.value","no2Conc1HourMeanUsEpaAqi.raw","no2Conc1HourMeanUsEpaAqi.status","no2Conc1HourMeanUsEpaAqi.value","no2Conc1HourMeanWaDwerAqi.raw","no2Conc1HourMeanWaDwerAqi.status","no2Conc1HourMeanWaDwerAqi.value","noConc1HourMean.raw","noConc1HourMean.status","noConc1HourMean.value","noxConc1HourMean.raw","noxConc1HourMean.status","noxConc1HourMean.value","o3Conc1HourMean.raw","o3Conc1HourMean.status","o3Conc1HourMean.value","o3Conc1HourMeanWaDwerAqi.raw","o3Conc1HourMeanWaDwerAqi.status","o3Conc1HourMeanWaDwerAqi.value","o3ConcNowcast.raw","o3ConcNowcast.status","o3ConcNowcast.value","o3ConcNowcastUsEpaAqi.raw","o3ConcNowcastUsEpaAqi.status","o3ConcNowcastUsEpaAqi.value","pm10ConcMass1HourMean.raw","pm10ConcMass1HourMean.status","pm10ConcMass1HourMean.value","pm10ConcMass1HourMeanWaDwerAqi.raw","pm10ConcMass1HourMeanWaDwerAqi.status","pm10ConcMass1HourMeanWaDwerAqi.value","pm10ConcMass24HourRollingMean.raw","pm10ConcMass24HourRollingMean.status","pm10ConcMass24HourRollingMean.value","pm10ConcMassNowcast.raw","pm10ConcMassNowcast.status","pm10ConcMassNowcast.value","pm10ConcMassNowcastUsEpaAqi.raw","pm10ConcMassNowcastUsEpaAqi.status","pm10ConcMassNowcastUsEpaAqi.value","pm10ConcNum1HourMean.raw","pm10ConcNum1HourMean.status","pm10ConcNum1HourMean.value","pm10ConcNum24HourRollingMean.raw","pm10ConcNum24HourRollingMean.status","pm10ConcNum24HourRollingMean.value","pm1ConcMass1HourMean.raw","pm1ConcMass1HourMean.status","pm1ConcMass1HourMean.value","pm1ConcNum1HourMean.raw","pm1ConcNum1HourMean.status","pm1ConcNum1HourMean.value","pm2_5ConcMass1HourMean.raw","pm2_5ConcMass1HourMean.status","pm2_5ConcMass1HourMean.value","pm2_5ConcMass1HourMeanWaDwerAqi.raw","pm2_5ConcMass1HourMeanWaDwerAqi.status","pm2_5ConcMass1HourMeanWaDwerAqi.value","pm2_5ConcMass24HourRollingMean.raw","pm2_5ConcMass24HourRollingMean.status","pm2_5ConcMass24HourRollingMean.value","pm2_5ConcMass24HourRollingMeanPhDenrAqi.raw","pm2_5ConcMass24HourRollingMeanPhDenrAqi.status","pm2_5ConcMass24HourRollingMeanPhDenrAqi.value","pm2_5ConcMass24HourRollingMeanUkDefraAqi.raw","pm2_5ConcMass24HourRollingMeanUkDefraAqi.status","pm2_5ConcMass24HourRollingMeanUkDefraAqi.value","pm2_5ConcMassNowcast.raw","pm2_5ConcMassNowcast.status","pm2_5ConcMassNowcast.value","pm2_5ConcMassNowcastUsEpaAqi.raw","pm2_5ConcMassNowcastUsEpaAqi.status","pm2_5ConcMassNowcastUsEpaAqi.value","pm2_5ConcNum1HourMean.raw","pm2_5ConcNum1HourMean.status","pm2_5ConcNum1HourMean.value","pm2_5ConcNum24HourRollingMean.raw","pm2_5ConcNum24HourRollingMean.status","pm2_5ConcNum24HourRollingMean.value","relHumidAmbient1HourMean.raw","relHumidAmbient1HourMean.status","relHumidAmbient1HourMean.value","relHumidInternal1HourMean.raw","relHumidInternal1HourMean.status","relHumidInternal1HourMean.value","tVocConc1HourMean.raw","tVocConc1HourMean.status","tVocConc1HourMean.value","temperatureAmbient1HourMean.raw","temperatureAmbient1HourMean.status","temperatureAmbient1HourMean.value","temperatureInternal1HourMean.raw","temperatureInternal1HourMean.status","temperatureInternal1HourMean.value","tspConcMass1HourMean.raw","tspConcMass1HourMean.status","tspConcMass1HourMean.value","windDirection1HourMean.raw","windDirection1HourMean.status","windDirection1HourMean.value","windSpeed1HourMean.raw","windSpeed1HourMean.status","windSpeed1HourMean.value","windVector1HourMean.raw","windVector1HourMean.status","windVector1HourMean.value"
"DBFEH9689","A636FW6Q","CLARITY_NODE","hour","2026-05-26T00:00:00.000Z","2026-05-26T01:00:00.000Z",39.98880106,-75.20729697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,"calibration-missing",,15.18,"calibration-missing",,1,"calibration-missing",,14,"calibration-missing",,15,"calibration-missing",,-16.31,"calibration-missing",,-1.13,"calibration-missing",,6.43,"calibration-missing",,6,"calibration-missing",,13.25,"sensor-ready",13.25,12,"sensor-ready",12,8.57,"calibration-missing",,9,"calibration-missing",,14.42,"calibration-missing",,7.49,"calibration-missing",,6,"calibration-missing",,11.63,"sensor-ready",11.63,12.84,"sensor-ready",12.84,5.22,"calibration-missing",,11.14,"sensor-ready",11.14,8.22,"calibrated-ready",5.36,8,"calibrated-ready",5,13.30,"calibrated-ready",6.39,27,"calibrated-ready",13,2,"calibrated-ready",1,7.16,"calibrated-ready",5.34,39,"calibrated-ready",29,11.57,"sensor-ready",11.57,12.70,"sensor-ready",12.70,,,,75.55,"sensor-ready",75.55,,,,,,,22.97,"sensor-ready",22.97,,,,,,,,,,,,
"DGYDF0388","A44MFTF3","CLARITY_NODE","hour","2026-05-26T00:00:00.000Z","2026-05-26T01:00:00.000Z",39.99195745,-75.08114984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,"calibration-missing",,29.60,"calibration-missing",,1,"calibration-missing",,27,"calibration-missing",,30,"calibration-missing",,-21.13,"calibration-missing",,8.47,"calibration-missing",,16.31,"calibration-missing",,16,"calibration-missing",,20.62,"sensor-ready",20.62,19,"sensor-ready",19,20.90,"calibration-missing",,21,"calibration-missing",,15.51,"calibration-missing",,16.93,"calibration-missing",,15,"calibration-missing",,24.57,"sensor-ready",24.57,16.02,"sensor-ready",16.02,13.57,"calibration-missing",,23.31,"sensor-ready",23.31,19.89,"calibrated-ready",10.49,20,"calibrated-ready",10,14.05,"calibrated-ready",7.16,28,"calibrated-ready",14,2,"calibrated-ready",1,16.12,"calibrated-ready",9.29,64,"calibrated-ready",51,24.46,"sensor-ready",24.46,15.91,"sensor-ready",15.91,,,,70.55,"sensor-ready",70.55,,,,,,,23.88,"sensor-ready",23.88,,,,,,,,,,,,
"DSCFB3568","A47HWW6V","CLARITY_NODE","hour","2026-05-26T00:00:00.000Z","2026-05-26T01:00:00.000Z",40.26430100,-76.85122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,"calibration-missing",,26.62,"calibration-missing",,1,"calibration-missing",,25,"calibration-missing",,27,"calibration-missing",,-25.76,"calibration-missing",,0.86,"calibration-missing",,9.20,"calibration-missing",,9,"calibration-missing",,13.88,"sensor-ready",13.88,12,"sensor-ready",12,7.15,"calibration-missing",,7,"calibration-missing",,25.56,"calibration-missing",,7.56,"calibration-missing",,6,"calibration-missing",,9.30,"sensor-ready",9.30,16.47,"sensor-ready",16.47,4.05,"calibration-missing",,8.87,"sensor-ready",8.87,6.79,"calibrated-ready",5.47,7,"calibrated-ready",5,21.47,"calibrated-ready",8.50,43,"calibrated-ready",17,2,"calibrated-ready",1,7.05,"calibrated-ready",5.85,39,"calibrated-ready",32,9.24,"sensor-ready",9.24,16.23,"sensor-ready",16.23,,,,64.79,"sensor-ready",64.79,,,,,,,24.47,"sensor-ready",24.47,,,,,,,,,,,,
"DUPVN4322","A93NM49L","CLARITY_NODE","hour","2026-05-26T00:00:00.000Z","2026-05-26T01:00:00.000Z",40.24700813,-76.84699099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,"calibration-missing",,20.62,"calibration-missing",,1,"calibration-missing",,19,"calibration-missing",,21,"calibration-missing",,-24.80,"calibration-missing",,-4.18,"calibration-missing",,21.11,"calibration-missing",,21,"calibration-missing",,25.28,"sensor-ready",25.28,23,"sensor-ready",23,7.22,"calibration-missing",,7,"calibration-missing",,13.98,"calibration-missing",,5.59,"calibration-missing",,5,"calibration-missing",,9.79,"sensor-ready",9.79,13.31,"sensor-ready",13.31,4.19,"calibration-missing",,9.36,"sensor-ready",9.36,6.77,"calibrated-ready",5.57,7,"calibrated-ready",6,13.14,"calibrated-ready",6.31,26,"calibrated-ready",13,2,"calibrated-ready",1,5.23,"calibrated-ready",5.07,29,"calibrated-ready",28,9.73,"sensor-ready",9.73,13.19,"sensor-ready",13.19,,,,64.56,"sensor-ready",64.56,,,,,,,24.55,"sensor-ready",24.55,,,,,,,,,,,,
"DUWLG7270","A43H6HKC","CLARITY_NODE","hour","2026-05-26T00:00:00.000Z","2026-05-26T01:00:00.000Z",40.31557952,-76.89584458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,"calibration-missing",,20.68,"calibration-missing",,1,"calibration-missing",,19,"calibration-missing",,21,"calibration-missing",,-17.35,"calibration-missing",,3.32,"calibration-missing",,15.35,"calibration-missing",,15,"calibration-missing",,23.78,"sensor-ready",23.78,21,"sensor-ready",21,5.69,"calibration-missing",,6,"calibration-missing",,15.32,"calibration-missing",,4.98,"calibration-missing",,4,"calibration-missing",,8.83,"sensor-ready",8.83,15.29,"sensor-ready",15.29,3.42,"calibration-missing",,8.45,"sensor-ready",8.45,5.35,"calibrated-ready",4.77,5,"calibrated-ready",5,14.05,"calibrated-ready",6.79,28,"calibrated-ready",13,2,"calibrated-ready",1,4.64,"calibrated-ready",4.69,26,"calibrated-ready",26,8.81,"sensor-ready",8.81,15.22,"sensor-ready",15.22,,,,69.13,"sensor-ready",69.13,,,,,,,23.91,"sensor-ready",23.91,,,,,,,,,,,,
"DBFEH9689","A636FW6Q","CLARITY_NODE","hour","2026-05-26T01:00:00.000Z","2026-05-26T02:00:00.000Z",39.98880106,-75.20729697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,"calibration-missing",,14.18,"calibration-missing",,1,"calibration-missing",,13,"calibration-missing",,14,"calibration-missing",,-13.85,"calibration-missing",,0.33,"calibration-missing",,6.13,"calibration-missing",,6,"calibration-missing",,11.65,"sensor-ready",11.65,10,"sensor-ready",10,15.42,"calibration-missing",,15,"calibration-missing",,14.49,"calibration-missing",,11.46,"calibration-missing",,10,"calibration-missing",,17.24,"sensor-ready",17.24,12.98,"sensor-ready",12.98,8.84,"calibration-missing",,16.33,"sensor-ready",16.33,14.58,"calibrated-ready",7.16,15,"calibrated-ready",7,13.37,"calibrated-ready",6.43,27,"calibrated-ready",13,2,"calibrated-ready",1,10.87,"calibrated-ready",6.12,54,"calibrated-ready",34,17.13,"sensor-ready",17.13,12.84,"sensor-ready",12.84,,,,79.36,"sensor-ready",79.36,,,,,,,21.65,"sensor-ready",21.65,,,,,,,,,,,,
"DGYDF0388","A44MFTF3","CLARITY_NODE","hour","2026-05-26T01:00:00.000Z","2026-05-26T02:00:00.000Z",39.99195745,-75.08114984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,"calibration-missing",,33.30,"calibration-missing",,1,"calibration-missing",,31,"calibration-missing",,33,"calibration-missing",,-21.57,"calibration-missing",,11.72,"calibration-missing",,5.65,"calibration-missing",,6,"calibration-missing",,14.65,"sensor-ready",14.65,13,"sensor-ready",13,26.62,"calibration-missing",,27,"calibration-missing",,16.13,"calibration-missing",,21.78,"calibration-missing",,19,"calibration-missing",,29.88,"sensor-ready",29.88,16.68,"sensor-ready",16.68,16.86,"calibration-missing",,28.24,"sensor-ready",28.24,24.73,"calibrated-ready",11.83,25,"calibrated-ready",12,14.62,"calibrated-ready",7.42,29,"calibrated-ready",15,2,"calibrated-ready",1,20.42,"calibrated-ready",10.56,72,"calibrated-ready",54,29.76,"sensor-ready",29.76,16.57,"sensor-ready",16.57,,,,75.35,"sensor-ready",75.35,,,,,,,23.01,"sensor-ready",23.01,,,,,,,,,,,,
"DSCFB3568","A47HWW6V","CLARITY_NODE","hour","2026-05-26T01:00:00.000Z","2026-05-26T02:00:00.000Z",40.26430100,-76.85122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,"calibration-missing",,30.62,"calibration-missing",,1,"calibration-missing",,28,"calibration-missing",,31,"calibration-missing",,-22.94,"calibration-missing",,7.68,"calibration-missing",,0.16,"calibration-missing",,0,"calibration-missing",,6.86,"sensor-ready",6.86,6,"sensor-ready",6,20.94,"calibration-missing",,21,"calibration-missing",,24.61,"calibration-missing",,14.25,"calibration-missing",,13,"calibration-missing",,21.67,"sensor-ready",21.67,16.10,"sensor-ready",16.10,12.22,"calibration-missing",,20.50,"sensor-ready",20.50,19.41,"calibrated-ready",9.94,19,"calibrated-ready",10,20.68,"calibrated-ready",8.37,41,"calibrated-ready",17,2,"calibrated-ready",1,13.23,"calibrated-ready",7.90,59,"calibrated-ready",44,21.52,"sensor-ready",21.52,15.86,"sensor-ready",15.86,,,,71.39,"sensor-ready",71.39,,,,,,,22.44,"sensor-ready",22.44,,,,,,,,,,,,
"DUPVN4322","A93NM49L","CLARITY_NODE","hour","2026-05-26T01:00:00.000Z","2026-05-26T02:00:00.000Z",40.24700813,-76.84699099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,"calibration-missing",,20.38,"calibration-missing",,1,"calibration-missing",,19,"calibration-missing",,20,"calibration-missing",,-21.77,"calibration-missing",,-1.40,"calibration-missing",,8.04,"calibration-missing",,8,"calibration-missing",,15.28,"sensor-ready",15.28,14,"sensor-ready",14,11.03,"calibration-missing",,11,"calibration-missing",,13.48,"calibration-missing",,8.31,"calibration-missing",,7,"calibration-missing",,13.79,"sensor-ready",13.79,12.89,"sensor-ready",12.89,6.62,"calibration-missing",,13.12,"sensor-ready",13.12,10.41,"calibrated-ready",6.55,10,"calibrated-ready",7,12.65,"calibrated-ready",6.20,25,"calibrated-ready",12,2,"calibrated-ready",1,7.82,"calibrated-ready",5.75,43,"calibrated-ready",32,13.70,"sensor-ready",13.70,12.77,"sensor-ready",12.77,,,,71.65,"sensor-ready",71.65,,,,,,,22.12,"sensor-ready",22.12,,,,,,,,,,,,
"DUWLG7270","A43H6HKC","CLARITY_NODE","hour","2026-05-26T01:00:00.000Z","2026-05-26T02:00:00.000Z",40.31557952,-76.89584458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,"calibration-missing",,21.07,"calibration-missing",,1,"calibration-missing",,20,"calibration-missing",,21,"calibration-missing",,-15.47,"calibration-missing",,5.60,"calibration-missing",,9.80,"calibration-missing",,10,"calibration-missing",,18.57,"sensor-ready",18.57,17,"sensor-ready",17,7.31,"calibration-missing",,7,"calibration-missing",,14.23,"calibration-missing",,6.15,"calibration-missing",,6,"calibration-missing",,10.22,"sensor-ready",10.22,14.36,"sensor-ready",14.36,4.42,"calibration-missing",,9.78,"sensor-ready",9.78,6.78,"calibrated-ready",4.84,7,"calibrated-ready",5,13.04,"calibrated-ready",6.48,26,"calibrated-ready",13,2,"calibrated-ready",1,5.71,"calibrated-ready",4.72,32,"calibrated-ready",26,10.20,"sensor-ready",10.20,14.30,"sensor-ready",14.30,,,,76.63,"sensor-ready",76.63,,,,,,,21.66,"sensor-ready",21.66,,,,,,,,,,,,
