Date / Time,OZONE (PPB),SWS (MPH),VWS (MPH),VWD (DEG),AT (DEGF),SR (W/M2),PM25_640 (UG/M3)
12/3/2025 0:00,31,4,3.9,352,34,0,5.5
12/3/2025 1:00,,2.9,2.8,339,34,0,4.8
12/3/2025 2:00,31,3.2,3.1,338,33,0,3.4
12/3/2025 3:00,32,4.6,4.5,343,33,0,3.2
12/3/2025 4:00,29,2.7,2.6,339,33,0,3.2
12/3/2025 5:00,23,2.2,2.2,343,33,0,3.3
12/3/2025 6:00,19,1.5,1.3,339,32,0,3.6
12/3/2025 7:00,21,1.9,1.8,321,32,13,4.2
12/3/2025 8:00,25,2.2,2.1,335,34,145,5
12/3/2025 9:00,33,3.2,3,324,36,309,5
12/3/2025 10:00,36,3.1,2.9,321,37,387,5.8
12/3/2025 11:00,38,2.4,2.1,315,38,416,7.2
12/3/2025 12:00,38,3,2.8,335,39,436,7.8
12/3/2025 13:00,39,1.9,1.8,318,39,377,7.8
12/3/2025 14:00,,2.2,1.9,271,40,275,9.2
12/3/2025 15:00,34,2.2,1.9,270,39,132,10.5
12/3/2025 16:00,31,1.9,1.8,280,38,9,13.2
12/3/2025 17:00,25,1.3,1.2,262,36,0,13.7
12/3/2025 18:00,19,1.1,1,230,35,0,14.1
12/3/2025 19:00,18,1,0.9,245,34,0,15.3
12/3/2025 20:00,12,0.7,0.4,214,32,0,15
12/3/2025 21:00,4,1.2,1.1,202,31,0,15.8
12/3/2025 22:00,4,1.3,1.1,287,31,0,16.2
12/3/2025 23:00,4,1.7,1.5,268,31,0,16.7
