,Date / Time,OZONE (PPB),SWS (MPH),VWS (MPH),VWD (DEG),AT (DEGF),SR (W/M2),PM25_640 (UG/M3)
0,11/30/2025 0:00,28.0,2.6,2.5,164,35,0,9.5
1,11/30/2025 1:00,,2.7,2.6,153,35,0,8.7
2,11/30/2025 2:00,29.0,3.2,3.1,151,35,0,8.8
3,11/30/2025 3:00,29.0,3.1,3.0,158,35,0,7.2
4,11/30/2025 4:00,29.0,3.1,3.0,162,35,0,6.4
5,11/30/2025 5:00,28.0,3.0,3.0,163,35,0,6.2
6,11/30/2025 6:00,28.0,2.6,2.5,165,35,0,5.8
7,11/30/2025 7:00,31.0,3.7,3.6,196,33,0,5.4
8,11/30/2025 8:00,32.0,2.5,2.4,190,32,1,5.1
9,11/30/2025 9:00,31.0,2.8,2.7,190,33,18,5.3
10,11/30/2025 10:00,32.0,3.6,3.5,197,35,27,5.3
11,11/30/2025 11:00,31.0,3.1,3.0,203,36,79,5.4
12,11/30/2025 12:00,31.0,3.4,3.3,202,37,88,5.8
13,11/30/2025 13:00,31.0,3.6,3.4,199,39,185,5.8
14,11/30/2025 14:00,30.0,3.2,3.1,205,40,130,5.8
15,11/30/2025 15:00,29.0,2.1,2.0,205,41,39,5.8
16,11/30/2025 16:00,27.0,2.3,2.2,213,40,0,6.0
17,11/30/2025 17:00,25.0,1.5,1.2,264,39,0,6.8
18,11/30/2025 18:00,23.0,1.4,1.2,225,39,0,7.3
19,11/30/2025 19:00,20.0,1.3,1.2,274,38,0,8.6
20,11/30/2025 20:00,15.0,1.1,0.7,247,37,0,9.9
21,11/30/2025 21:00,23.0,4.5,4.3,312,39,0,6.7
22,11/30/2025 22:00,27.0,5.1,5.0,314,38,0,5.7
23,11/30/2025 23:00,28.0,4.1,4.0,314,37,0,6.1
24,12/1/2025 0:00,26.0,3.3,3.2,305,37,0,6.6
25,12/1/2025 1:00,,3.1,2.9,297,36,0,6.6
26,12/1/2025 2:00,25.0,2.4,2.3,283,34,0,6.3
27,12/1/2025 3:00,28.0,3.7,3.6,307,35,0,4.9
28,12/1/2025 4:00,26.0,2.5,2.4,306,35,0,4.7
29,12/1/2025 5:00,27.0,3.8,3.7,316,36,0,4.3
30,12/1/2025 6:00,26.0,2.8,2.7,313,36,0,4.3
31,12/1/2025 7:00,23.0,2.1,2.0,302,36,11,4.2
