"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2026","AirNow","420430401","7","3.3","ug/m3 LC","18","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/02/2026","AirNow","420430401","7","5","ug/m3 LC","28","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/03/2026","AirNow","420430401","7","11.7","ug/m3 LC","56","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/04/2026","AirNow","420430401","7","11.5","ug/m3 LC","55","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/05/2026","AirNow","420430401","7","16.7","ug/m3 LC","65","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/06/2026","AirNow","420430401","7","31.2","ug/m3 LC","92","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/07/2026","AirNow","420430401","7","16.3","ug/m3 LC","64","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/08/2026","AirNow","420430401","7","13","ug/m3 LC","58","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/09/2026","AirNow","420430401","7","18.9","ug/m3 LC","69","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/10/2026","AirNow","420430401","7","8.1","ug/m3 LC","45","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/11/2026","AirNow","420430401","7","4.3","ug/m3 LC","24","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/12/2026","AirNow","420430401","7","5.8","ug/m3 LC","32","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/13/2026","AirNow","420430401","7","7.8","ug/m3 LC","43","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/14/2026","AirNow","420430401","7","13.7","ug/m3 LC","60","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/15/2026","AirNow","420430401","7","5.3","ug/m3 LC","29","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/16/2026","AirNow","420430401","7","5.5","ug/m3 LC","31","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/17/2026","AirNow","420430401","7","14.3","ug/m3 LC","61","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/18/2026","AirNow","420430401","7","21.6","ug/m3 LC","74","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/19/2026","AirNow","420430401","7","8.3","ug/m3 LC","46","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/20/2026","AirNow","420430401","7","4.4","ug/m3 LC","24","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/21/2026","AirNow","420430401","7","9.8","ug/m3 LC","52","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/22/2026","AirNow","420430401","7","7.9","ug/m3 LC","44","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/23/2026","AirNow","420430401","7","4.6","ug/m3 LC","26","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/24/2026","AirNow","420430401","7","3.4","ug/m3 LC","19","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/25/2026","AirNow","420430401","7","4.4","ug/m3 LC","24","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/26/2026","AirNow","420430401","7","5.9","ug/m3 LC","33","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/27/2026","AirNow","420430401","7","8.7","ug/m3 LC","48","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
"01/28/2026","AirNow","420430401","7","11.4","ug/m3 LC","55","Harrisburg","1","100.0000","88101","PM2.5 - Local Conditions","","","25420","Harrisburg-Carlisle, PA","42","Pennsylvania","043","Dauphin","40.246992","-76.846988"
