Date,Source,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2026,AirNow,421010048,2,12,ug/m3 SC,11,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/2/2026,AirNow,421010048,2,24,ug/m3 SC,22,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/3/2026,AirNow,421010048,2,20,ug/m3 SC,19,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/4/2026,AirNow,421010048,2,18,ug/m3 SC,17,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/5/2026,AirNow,421010048,2,21,ug/m3 SC,19,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/6/2026,AirNow,421010048,2,37,ug/m3 SC,34,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/7/2026,AirNow,421010048,2,31,ug/m3 SC,29,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/8/2026,AirNow,421010048,2,22,ug/m3 SC,20,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/9/2026,AirNow,421010048,2,21,ug/m3 SC,19,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/10/2026,AirNow,421010048,2,14,ug/m3 SC,13,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/11/2026,AirNow,421010048,2,7,ug/m3 SC,6,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/12/2026,AirNow,421010048,2,11,ug/m3 SC,10,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/13/2026,AirNow,421010048,2,17,ug/m3 SC,16,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/14/2026,AirNow,421010048,2,25,ug/m3 SC,23,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/15/2026,AirNow,421010048,2,13,ug/m3 SC,12,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/16/2026,AirNow,421010048,2,12,ug/m3 SC,11,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/17/2026,AirNow,421010048,2,18,ug/m3 SC,17,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
1/18/2026,AirNow,421010048,2,32,ug/m3 SC,30,North East Waste (NEW),1,100,81102,PM10 Total 0-10um STP,,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,Pennsylvania,101,Philadelphia,39.991389,-75.080833
