Datasource ID,Source Type,Source ID,Time [UTC+00:00],PM1 24-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 24-Hour Mean Mass Concentration Raw [ug/m3],PM1 24-Hour Mean Number Concentration [#/cm3],PM2.5 24-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Mean Number Concentration [#/cm3],PM2.5 24-Hour Mean AQI (US EPA),PM10 24-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Mean AQI (US EPA),NO2 24-Hour Mean Concentration Calibrated [ppb],NO2 24-Hour Mean Concentration Raw [ppb],O3 24-Hour Mean Concentration Raw [ppb],Temperature Internal 24-Hour Mean [degC],Temperature Ambient 24-Hour Mean [degC],Rel. Humidity Internal 24-Hour Mean [%],Rel. Humidity Ambient 24-Hour Mean [%],Wind Speed 24-Hour Mean [m/s],Wind Direction 24-Hour Mean [degrees],Atmospheric Pressure 24-Hour Mean [hPa],latitude,longitude
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-13T00:00:00.000Z,,6.39,,,10.84,14.88,45,,17.22,15.04,16,,10.06,,26.29,,67.37,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-14T00:00:00.000Z,,4.85,,,7.47,12.02,31,,11.48,12.1,11,,21.76,,28.34,,63.52,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-15T00:00:00.000Z,,7.66,,,12.32,16.73,51,,19.39,16.88,18,,24.53,,26.81,,67.7,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-16T00:00:00.000Z,,6.93,,,12.17,15.69,51,,21.58,15.88,20,,18.34,,26.78,,71.27,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-17T00:00:00.000Z,,9.56,,,16.38,20.22,60,,27.78,20.46,26,,24.95,,27.7,,71.05,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-18T00:00:00.000Z,,12.25,,,20.48,24.77,69,,33.08,25.03,31,,24.8,,26.9,,76.21,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-19T00:00:00.000Z,,11.59,,,18.63,23.95,65,,28.59,24.15,26,,22.52,,27.27,,74.19,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-20T00:00:00.000Z,,8,,,13.17,17.3,53,,21.47,17.47,20,,24.71,,26.57,,75.22,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-21T00:00:00.000Z,,8.91,,,15.69,19.6,59,,28.25,19.86,26,,22.08,,27.21,,72.45,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-22T00:00:00.000Z,,7.33,,,13.41,16.79,54,,25.52,17.04,24,,20.01,,26.37,,75.48,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-23T00:00:00.000Z,,5.95,,,9.63,13.71,40,,15.21,13.83,14,,20.94,,26.14,,71.66,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-24T00:00:00.000Z,,8.73,,,13.43,18.56,54,,19.47,18.69,18,,25.06,,27.06,,71,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-25T00:00:00.000Z,,6.65,,,11.01,15.27,46,,17.78,15.41,16,,25.31,,27.77,,72.24,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-26T00:00:00.000Z,,6.39,,,11.43,15,48,,20.78,15.19,19,,22.7,,29.35,,69.63,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-27T00:00:00.000Z,,7.8,,,13.74,17.51,54,,24.71,17.74,23,,18.26,,28.79,,73.92,,,,,14.68,-17.46
DJXKT9548,CLARITY_NODE,AFKCH5X0,2019-06-28T00:00:00.000Z,,6.54,,,12.17,15.45,51,,23.59,15.69,22,,13.74,,26.93,,76.8,,,,,14.68,-17.46
